| Version 1 |                  |                |
|-----------|------------------|----------------|
| Employee  | transaction cost | execution cost |
|-----------|------------------|----------------|
| 1         | 22971            | 1699           |
| 2         | 23759            | 2487           |
| 3         | 24547            | 3275           |
| 4         | 25335            | 4063           |
| 5         | 26123            | 4851           |
| 6         | 26911            | 5639           |
| 7         | 27699            | 6427           |
| 8         | 28487            | 7215           |
| 9         | 29275            | 8003           |
| 10        | 30063            | 8791           |

| Version 2 |                  |                |
|-----------|------------------|----------------|
| Employee  | transaction cost | execution cost |
|-----------|------------------|----------------|
| 1         | 22122            | 850            |
| 2         | 22122            | 850            |
| 3         | 22122            | 850            |
| 4         | 22122            | 850            |
| 5         | 22122            | 850            |
| 6         | 22122            | 850            |
| 7         | 22122            | 850            |
| 8         | 22122            | 850            |
| 9         | 22122            | 850            |
| 10        | 22122            | 850            |
